ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:freqval_caa002_19	Frequency mode 19 caa002	gc:FloatValue	501.36	gc:cm-1
ex:freqval_caa002_20	Frequency mode 20 caa002	gc:FloatValue	667.62	gc:cm-1
ex:freqval_caa002_21	Frequency mode 21 caa002	gc:FloatValue	728.17	gc:cm-1
ex:freqval_caa002_22	Frequency mode 22 caa002	gc:FloatValue	735.58	gc:cm-1
ex:freqval_caa002_23	Frequency mode 23 caa002	gc:FloatValue	792.06	gc:cm-1
ex:freqval_caa002_24	Frequency mode 24 caa002	gc:FloatValue	1032.51	gc:cm-1
ex:freqval_caa002_25	Frequency mode 25 caa002	gc:FloatValue	1072.33	gc:cm-1
ex:freqval_caa002_26	Frequency mode 26 caa002	gc:FloatValue	1251.72	gc:cm-1
ex:freqval_caa002_27	Frequency mode 27 caa002	gc:FloatValue	1322.75	gc:cm-1
ex:freqval_caa002_28	Frequency mode 28 caa002	gc:FloatValue	1470.33	gc:cm-1
ex:freqval_caa002_29	Frequency mode 29 caa002	gc:FloatValue	1492.74	gc:cm-1
ex:freqval_caa002_30	Frequency mode 30 caa002	gc:FloatValue	1748.01	gc:cm-1
ex:freqval_caa002_31	Frequency mode 31 caa002	gc:FloatValue	1752.77	gc:cm-1
ex:freqval_caa002_32	Frequency mode 32 caa002	gc:FloatValue	1784.65	gc:cm-1
ex:freqval_caa002_33	Frequency mode 33 caa002	gc:FloatValue	3077.04	gc:cm-1
ex:freqval_caa002_34	Frequency mode 34 caa002	gc:FloatValue	3151.99	gc:cm-1
ex:freqval_caa002_35	Frequency mode 35 caa002	gc:FloatValue	3228.78	gc:cm-1
ex:freqval_caa002_36	Frequency mode 36 caa002	gc:FloatValue	3507.52	gc:cm-1
ex:freqval_caa002_37	Frequency mode 37 caa002	gc:FloatValue	3556.07	gc:cm-1
ex:freqval_caa002_38	Frequency mode 38 caa002	gc:FloatValue	3624.33	gc:cm-1
ex:freqval_caa002_39	Frequency mode 39 caa002	gc:FloatValue	3699.2	gc:cm-1
ex:intval_caa002_1	IR intensity mode 1 caa002	gc:FloatValue	0.00264	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_2	IR intensity mode 2 caa002	gc:FloatValue	5e-05	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_3	IR intensity mode 3 caa002	gc:FloatValue	3e-05	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_4	IR intensity mode 4 caa002	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_5	IR intensity mode 5 caa002	gc:FloatValue	0.01043	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_6	IR intensity mode 6 caa002	gc:FloatValue	0.4229	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_7	IR intensity mode 7 caa002	gc:FloatValue	0.1209	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_8	IR intensity mode 8 caa002	gc:FloatValue	0.16637	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_9	IR intensity mode 9 caa002	gc:FloatValue	0.25755	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_10	IR intensity mode 10 caa002	gc:FloatValue	0.1916	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_11	IR intensity mode 11 caa002	gc:FloatValue	0.07517	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_12	IR intensity mode 12 caa002	gc:FloatValue	0.1221	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_13	IR intensity mode 13 caa002	gc:FloatValue	0.23817	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_14	IR intensity mode 14 caa002	gc:FloatValue	0.29959	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_15	IR intensity mode 15 caa002	gc:FloatValue	2.76481	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_16	IR intensity mode 16 caa002	gc:FloatValue	2.84967	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_17	IR intensity mode 17 caa002	gc:FloatValue	0.44638	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_18	IR intensity mode 18 caa002	gc:FloatValue	1.42537	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_19	IR intensity mode 19 caa002	gc:FloatValue	2.39418	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_20	IR intensity mode 20 caa002	gc:FloatValue	8.68443	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_21	IR intensity mode 21 caa002	gc:FloatValue	7.61375	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_22	IR intensity mode 22 caa002	gc:FloatValue	2.03778	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_23	IR intensity mode 23 caa002	gc:FloatValue	0.99526	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_24	IR intensity mode 24 caa002	gc:FloatValue	1.56945	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_25	IR intensity mode 25 caa002	gc:FloatValue	0.03769	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_26	IR intensity mode 26 caa002	gc:FloatValue	0.06548	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_27	IR intensity mode 27 caa002	gc:FloatValue	0.56583	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_28	IR intensity mode 28 caa002	gc:FloatValue	0.13372	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_29	IR intensity mode 29 caa002	gc:FloatValue	1.01775	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_30	IR intensity mode 30 caa002	gc:FloatValue	4.9124	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_31	IR intensity mode 31 caa002	gc:FloatValue	5.43096	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_32	IR intensity mode 32 caa002	gc:FloatValue	4.25423	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_33	IR intensity mode 33 caa002	gc:FloatValue	0.67894	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_34	IR intensity mode 34 caa002	gc:FloatValue	0.3635	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_35	IR intensity mode 35 caa002	gc:FloatValue	0.22169	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_36	IR intensity mode 36 caa002	gc:FloatValue	2.8477	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_37	IR intensity mode 37 caa002	gc:FloatValue	3.54303	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_38	IR intensity mode 38 caa002	gc:FloatValue	4.68589	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa002_39	IR intensity mode 39 caa002	gc:FloatValue	2.82899	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_caa002a_1	Frequency mode 1 caa002a	gc:FloatValue	-66.68	gc:cm-1
ex:freqval_caa002a_2	Frequency mode 2 caa002a	gc:FloatValue	23.58	gc:cm-1
ex:freqval_caa002a_3	Frequency mode 3 caa002a	gc:FloatValue	16.72	gc:cm-1
ex:freqval_caa002a_4	Frequency mode 4 caa002a	gc:FloatValue	7.25	gc:cm-1
ex:freqval_caa002a_5	Frequency mode 5 caa002a	gc:FloatValue	1.01	gc:cm-1
ex:freqval_caa002a_6	Frequency mode 6 caa002a	gc:FloatValue	0.31	gc:cm-1
ex:freqval_caa002a_7	Frequency mode 7 caa002a	gc:FloatValue	5.19	gc:cm-1
ex:freqval_caa002a_8	Frequency mode 8 caa002a	gc:FloatValue	31.36	gc:cm-1
ex:freqval_caa002a_9	Frequency mode 9 caa002a	gc:FloatValue	57.26	gc:cm-1
