ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_caa005bTSaIRCf_127	Path point 127 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	127	ex:pathenergy_caa005bTSaIRCf_127
ex:pathpoint_caa005bTSaIRCf_128	Path point 128 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	128	ex:pathenergy_caa005bTSaIRCf_128
ex:pathpoint_caa005bTSaIRCf_129	Path point 129 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	129	ex:pathenergy_caa005bTSaIRCf_129
ex:pathpoint_caa005bTSaIRCf_130	Path point 130 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	130	ex:pathenergy_caa005bTSaIRCf_130
ex:pathpoint_caa005bTSaIRCf_131	Path point 131 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	131	ex:pathenergy_caa005bTSaIRCf_131
ex:pathpoint_caa005bTSaIRCf_132	Path point 132 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	132	ex:pathenergy_caa005bTSaIRCf_132
ex:pathpoint_caa005bTSaIRCf_133	Path point 133 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	133	ex:pathenergy_caa005bTSaIRCf_133
ex:pathpoint_caa005bTSaIRCf_134	Path point 134 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	134	ex:pathenergy_caa005bTSaIRCf_134
ex:pathpoint_caa005bTSaIRCf_135	Path point 135 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	135	ex:pathenergy_caa005bTSaIRCf_135
ex:pathpoint_caa005bTSaIRCf_136	Path point 136 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	136	ex:pathenergy_caa005bTSaIRCf_136
ex:pathpoint_caa005bTSaIRCf_137	Path point 137 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	137	ex:pathenergy_caa005bTSaIRCf_137
ex:pathpoint_caa005bTSaIRCf_138	Path point 138 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	138	ex:pathenergy_caa005bTSaIRCf_138
ex:pathpoint_caa005bTSaIRCf_139	Path point 139 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	139	ex:pathenergy_caa005bTSaIRCf_139
ex:pathpoint_caa005bTSaIRCf_140	Path point 140 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	140	ex:pathenergy_caa005bTSaIRCf_140
ex:pathpoint_caa005bTSaIRCf_141	Path point 141 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	141	ex:pathenergy_caa005bTSaIRCf_141
ex:pathpoint_caa005bTSaIRCf_142	Path point 142 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	142	ex:pathenergy_caa005bTSaIRCf_142
ex:pathpoint_caa005bTSaIRCf_143	Path point 143 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	143	ex:pathenergy_caa005bTSaIRCf_143
ex:pathpoint_caa005bTSaIRCf_144	Path point 144 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	144	ex:pathenergy_caa005bTSaIRCf_144
ex:pathpoint_caa005bTSaIRCf_145	Path point 145 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	145	ex:pathenergy_caa005bTSaIRCf_145
