ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ex:file_aa002-hydrate-bare_dat	Output data aa002-hydrate-bare	ex:DataFile			ex:exp_aa002-hydrate-bare								
ex:file_aa002-hydrate-bare_log	Output log aa002-hydrate-bare	ex:LogFile			ex:exp_aa002-hydrate-bare	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-hydrate-bare.log	a7898d95535906fb118587d27144e6994106456169922083a5d8a0964bb5188d						
													
ex:exp_aa002-hydrate-pcseg2	Single point aa002-hydrate-pcseg2	gc:SinglePoint	ex:file_aa002-hydrate-pcseg2_inp	ex:file_aa002-hydrate-pcseg2_dat|ex:file_aa002-hydrate-pcseg2_log				wB97X-D	PCSEG-2	water	PCM	ENERGY	
ex:file_aa002-hydrate-pcseg2_inp	Input file aa002-hydrate-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-hydrate-pcseg2.inp	73543d0dc0f078c9fc970783ed479314f3cf8bc7ac157bce497548f2d728161c						
ex:file_aa002-hydrate-pcseg2_dat	Output data aa002-hydrate-pcseg2	ex:DataFile			ex:exp_aa002-hydrate-pcseg2								
ex:file_aa002-hydrate-pcseg2_log	Output log aa002-hydrate-pcseg2	ex:LogFile			ex:exp_aa002-hydrate-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-hydrate-pcseg2.log	6da1440447da6b1dc43efa59043e4158f5bd8f791135f1259785e79da1777627						
													
ex:exp_aa002-water-bare-smd	Vibrational analysis aa002-water-bare-smd	gc:VibrationalAnalysis	ex:file_aa002-water-bare-smd_inp	ex:file_aa002-water-bare-smd_dat|ex:file_aa002-water-bare-smd_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa002-water-bare-smd_inp	Input file aa002-water-bare-smd	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-water-bare-smd.inp	43cf353769b5127636162f909b70dfaa0d7e4c218e3d96c5ad496063f82bd7e2						
ex:file_aa002-water-bare-smd_dat	Output data aa002-water-bare-smd	ex:DataFile			ex:exp_aa002-water-bare-smd								
ex:file_aa002-water-bare-smd_log	Output log aa002-water-bare-smd	ex:LogFile			ex:exp_aa002-water-bare-smd	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-water-bare-smd.log	95405a4c4a3e1ba680a6c6f883ea7de152d2b1c39d04bfabfb5d6ebb42c3436c						
													
